DATES,STX
14/06/2024,3215.909912109375
13/06/2024,3171.68994140625
11/06/2024,3171.10009765625
10/06/2024,3180.93994140625
07/06/2024,3233.219970703125
06/06/2024,3192.3798828125
05/06/2024,3212.239990234375
04/06/2024,3186.929931640625
03/06/2024,3141.419921875
31/05/2024,3217.18994140625
30/05/2024,3282.179931640625
29/05/2024,3318.030029296875
28/05/2024,3302.909912109375
27/05/2024,3299.219970703125
24/05/2024,3396.5
23/05/2024,3442.7900390625
22/05/2024,3444.639892578125
21/05/2024,3428.3798828125
20/05/2024,3468.090087890625
17/05/2024,3501.889892578125
16/05/2024,3486.260009765625
15/05/2024,3470.719970703125
14/05/2024,3463.929931640625
13/05/2024,3457.110107421875
10/05/2024,3449.780029296875
08/05/2024,3432.5400390625
07/05/2024,3427.610107421875
06/05/2024,3436.050048828125
03/05/2024,3441.77001953125
02/05/2024,3442.830078125
30/04/2024,3469.830078125
29/04/2024,3478.080078125
26/04/2024,3449.77001953125
25/04/2024,3439.760009765625
24/04/2024,3428.929931640625
23/04/2024,3439.419921875
22/04/2024,3479.169921875
19/04/2024,3470.8798828125
18/04/2024,3455.820068359375
17/04/2024,3454.070068359375
16/04/2024,3462.93994140625
15/04/2024,3472.18994140625
12/04/2024,3456.239990234375
11/04/2024,3439.530029296875
10/04/2024,3439.110107421875
09/04/2024,3414.260009765625
08/04/2024,3417.3798828125
05/04/2024,3395.3701171875
04/04/2024,3407.570068359375
03/04/2024,3395.590087890625
02/04/2024,3371.2900390625
01/04/2024,3363.2900390625
29/03/2024,3332.530029296875
28/03/2024,3312.77001953125
27/03/2024,3304.090087890625
26/03/2024,3285.5400390625
25/03/2024,3281.6298828125
22/03/2024,3273.489990234375
21/03/2024,3286.68994140625
20/03/2024,3267.10009765625
19/03/2024,3264.969970703125
18/03/2024,3296.300048828125
15/03/2024,3300.070068359375
14/03/2024,3297.0
13/03/2024,3320.679931640625
12/03/2024,3332.60009765625
11/03/2024,3320.31005859375
07/03/2024,3315.679931640625
06/03/2024,3310.580078125
05/03/2024,3300.889892578125
04/03/2024,3296.75
01/03/2024,3266.659912109375
29/02/2024,3256.800048828125
28/02/2024,3227.050048828125
27/02/2024,3208.989990234375
26/02/2024,3213.169921875
22/02/2024,3142.300048828125
21/02/2024,3139.5
20/02/2024,3207.489990234375
19/02/2024,3244.56005859375
16/02/2024,3242.47998046875
15/02/2024,3265.6298828125
14/02/2024,3258.139892578125
13/02/2024,3254.60009765625
12/02/2024,3248.5
09/02/2024,3242.3798828125
08/02/2024,3241.81005859375
07/02/2024,3256.580078125
06/02/2024,3238.39990234375
05/02/2024,3226.7900390625
02/02/2024,3226.35009765625
01/02/2024,3229.889892578125
31/01/2024,3214.18994140625
30/01/2024,3196.080078125
29/01/2024,3176.610107421875
26/01/2024,3163.2099609375
25/01/2024,3157.739990234375
24/01/2024,3162.409912109375
23/01/2024,3175.739990234375
22/01/2024,3172.14990234375
19/01/2024,3166.3701171875
18/01/2024,3178.85009765625
17/01/2024,3185.22998046875
16/01/2024,3179.449951171875
15/01/2024,3184.8798828125
12/01/2024,3185.219970703125
11/01/2024,3181.25
10/01/2024,3164.699951171875
09/01/2024,3155.550048828125
08/01/2024,3158.580078125
05/01/2024,3136.3701171875
04/01/2024,3136.070068359375
03/01/2024,3130.22998046875
29/12/2023,3099.110107421875
28/12/2023,3101.989990234375
27/12/2023,3097.489990234375
26/12/2023,3094.719970703125
22/12/2023,3092.580078125
21/12/2023,3073.570068359375
