DATES,Ryr
29/10/2025,3.102
28/10/2025,3.100
27/10/2025,2.950
24/10/2025,2.950
23/10/2025,2.950
22/10/2025,2.950
21/10/2025,2.950
20/10/2025,2.950
17/10/2025,2.950
16/10/2025,2.950
15/10/2025,2.950
14/10/2025,2.950
13/10/2025,2.950
10/10/2025,2.950
09/10/2025,2.950
08/10/2025,2.950
07/10/2025,2.950
06/10/2025,2.950
03/10/2025,2.950
02/10/2025,2.950
01/10/2025,2.950
30/09/2025,3.030
26/09/2025,3.850
24/09/2025,3.030
23/09/2025,2.950
18/09/2025,2.950
17/09/2025,3.850
16/09/2025,3.850
15/09/2025,3.850
12/09/2025,2.950
11/09/2025,2.950
10/09/2025,2.950
09/09/2025,2.950
05/09/2025,3.850
04/09/2025,3.850
03/09/2025,3.100
02/09/2025,3.850
01/09/2025,2.950
29/08/2025,3.000
28/08/2025,3.050
27/08/2025,3.850
26/08/2025,3.850
25/08/2025,3.100
18/08/2025,3.100
15/08/2025,3.100
12/08/2025,3.850
11/08/2025,3.850
08/08/2025,3.850
07/08/2025,3.850
06/08/2025,3.850
05/08/2025,3.850
01/08/2025,3.850
31/07/2025,3.850
30/07/2025,3.850
29/07/2025,3.850
28/07/2025,3.850
23/07/2025,3.850
21/07/2025,3.850
18/07/2025,3.850
17/07/2025,3.850
16/07/2025,3.850
15/07/2025,3.850
14/07/2025,3.850
11/07/2025,3.850
10/07/2025,3.850
09/07/2025,3.850
08/07/2025,3.850
07/07/2025,3.850
04/07/2025,3.850
03/07/2025,3.850
02/07/2025,3.850
01/07/2025,3.850
30/06/2025,3.850
27/06/2025,3.850
26/06/2025,3.850
25/06/2025,3.850
24/06/2025,3.850
23/06/2025,3.850
20/06/2025,3.850
19/06/2025,3.850
18/06/2025,3.850
17/06/2025,3.850
16/06/2025,3.850
13/06/2025,3.850
12/06/2025,3.850
11/06/2025,3.850
10/06/2025,3.850
09/06/2025,3.850
06/06/2025,3.850
05/06/2025,3.850
04/06/2025,3.850
03/06/2025,3.850
02/06/2025,3.850
30/05/2025,3.850
29/05/2025,3.850
28/05/2025,3.850
27/05/2025,3.850
23/05/2025,3.850
22/05/2025,3.850
21/05/2025,3.850
20/05/2025,3.850
19/05/2025,3.850
15/05/2025,3.850
14/05/2025,3.850
13/05/2025,3.850
12/05/2025,3.850
08/05/2025,3.850
07/05/2025,3.850
05/05/2025,3.850
30/04/2025,3.850
29/04/2025,3.850
28/04/2025,3.850
25/04/2025,3.850
24/04/2025,3.850
23/04/2025,3.850
22/04/2025,3.850
16/04/2025,3.850
15/04/2025,3.850
14/04/2025,3.850
11/04/2025,3.850
10/04/2025,3.850
09/04/2025,3.850
08/04/2025,3.850
07/04/2025,3.850
04/04/2025,3.850
03/04/2025,3.850
02/04/2025,3.850
01/04/2025,3.850
31/03/2025,3.850
28/03/2025,3.850
27/03/2025,3.850
25/03/2025,3.850
24/03/2025,3.850
21/03/2025,3.850
20/03/2025,3.850
19/03/2025,3.850
18/03/2025,3.850
17/03/2025,3.850
14/03/2025,3.850
13/03/2025,3.850
11/03/2025,3.850
07/03/2025,3.850
06/03/2025,3.850
04/03/2025,3.850
28/02/2025,3.850
27/02/2025,3.850
25/02/2025,3.850
24/02/2025,3.850
20/02/2025,3.850
19/02/2025,3.850
17/02/2025,3.850
14/02/2025,3.850
13/02/2025,3.900
12/02/2025,3.850
11/02/2025,3.850
10/02/2025,3.850
07/02/2025,3.850
06/02/2025,3.850
05/02/2025,3.850
04/02/2025,3.850
03/02/2025,3.850
31/01/2025,3.850
30/01/2025,3.850
29/01/2025,3.850
