countryname,quarter,JLoss,source,date
argentina,1999Q1,2.8134079611892906,matlab,1999-01-01
argentina,1999Q2,2.5052528017413325,matlab,1999-04-01
argentina,1999Q3,2.3143412345329346,matlab,1999-07-01
argentina,1999Q4,2.2053436510922526,matlab,1999-10-01
argentina,2000Q1,2.181976292073384,matlab,2000-01-01
argentina,2000Q2,5.399206067010999,matlab,2000-04-01
argentina,2000Q3,7.4299821415105445,matlab,2000-07-01
argentina,2000Q4,16.844153150291028,matlab,2000-10-01
argentina,2001Q1,12.313971000901654,matlab,2001-01-01
argentina,2001Q2,6.683778845604198,matlab,2001-04-01
argentina,2003Q1,26.972797645786667,matlab,2003-01-01
argentina,2003Q2,14.64225265983136,matlab,2003-04-01
argentina,2003Q3,5.502553621533488,matlab,2003-07-01
argentina,2004Q1,3.0707592871879807,matlab,2004-01-01
argentina,2004Q2,4.165671447070747,matlab,2004-04-01
argentina,2004Q3,3.077881706486707,matlab,2004-07-01
argentina,2004Q4,2.5780260580783403,matlab,2004-10-01
argentina,2005Q1,2.719797072740142,matlab,2005-01-01
argentina,2005Q2,2.4894474763036447,matlab,2005-04-01
argentina,2005Q3,2.347282073989081,matlab,2005-07-01
argentina,2005Q4,3.2160211730593034,matlab,2005-10-01
argentina,2006Q1,2.6251142468824686,matlab,2006-01-01
argentina,2006Q2,4.228838750305002,matlab,2006-04-01
argentina,2006Q3,3.641392009462143,matlab,2006-07-01
argentina,2006Q4,3.7356844846865016,matlab,2006-10-01
argentina,2007Q1,3.3102652504253802,matlab,2007-01-01
argentina,2007Q2,2.1692646645032125,matlab,2007-04-01
argentina,2007Q3,3.309720172411446,matlab,2007-07-01
argentina,2007Q4,2.4054932916927845,matlab,2007-10-01
argentina,2008Q2,8.010691751508093,matlab,2008-04-01
argentina,2008Q3,7.476685781919355,matlab,2008-07-01
argentina,2008Q4,20.78022577468499,matlab,2008-10-01
argentina,2009Q1,16.39069390305678,matlab,2009-01-01
argentina,2009Q2,8.377069723551188,matlab,2009-04-01
argentina,2009Q3,5.2606655172616845,matlab,2009-07-01
argentina,2009Q4,3.98585934233863,matlab,2009-10-01
argentina,2010Q1,2.6913603178241563,matlab,2010-01-01
argentina,2010Q2,4.180132830732217,matlab,2010-04-01
argentina,2010Q3,3.2404193089434754,matlab,2010-07-01
argentina,2010Q4,4.825176018820112,matlab,2010-10-01
argentina,2011Q1,2.53123997615189,matlab,2011-01-01
argentina,2011Q2,2.3629395067696906,matlab,2011-04-01
brazil,2003Q4,25.778409220116345,matlab,2003-10-01
brazil,2004Q1,23.397702398651457,matlab,2004-01-01
brazil,2005Q1,21.02003961667942,matlab,2005-01-01
brazil,2005Q3,10.850463531252162,matlab,2005-07-01
brazil,2006Q1,7.400649197832047,matlab,2006-01-01
brazil,2006Q2,10.352111018417272,matlab,2006-04-01
brazil,2006Q3,4.890470632609517,matlab,2006-07-01
brazil,2007Q4,5.458288774217258,matlab,2007-10-01
brazil,2008Q1,6.159602160378153,matlab,2008-01-01
brazil,2008Q4,26.81774425296622,matlab,2008-10-01
brazil,2009Q1,14.295811432322923,matlab,2009-01-01
brazil,2010Q3,2.56648347966004,matlab,2010-07-01
bulgaria,2007Q2,2.160013538056625,matlab,2007-04-01
bulgaria,2007Q3,2.171312241528428,matlab,2007-07-01
chile,2003Q1,2.236672936959908,matlab,2003-01-01
chile,2003Q3,2.16031946120234,matlab,2003-07-01
chile,2004Q1,2.2628757570895823,matlab,2004-01-01
chile,2004Q2,2.179194494670041,matlab,2004-04-01
chile,2004Q3,2.160002796401883,matlab,2004-07-01
chile,2004Q4,2.1605471735757624,matlab,2004-10-01
chile,2005Q2,2.1600881163228864,matlab,2005-04-01
chile,2005Q4,2.163790404008414,matlab,2005-10-01
chile,2006Q3,2.160822577568817,matlab,2006-07-01
chile,2007Q1,2.197908027955674,matlab,2007-01-01
chile,2007Q2,2.2564431301085737,matlab,2007-04-01
chile,2007Q4,2.2250303593062752,matlab,2007-10-01
chile,2008Q1,5.941878243402033,matlab,2008-01-01
chile,2008Q2,5.3792836146925636,matlab,2008-04-01
chile,2008Q3,14.376682011618069,matlab,2008-07-01
chile,2008Q4,21.69102783722338,matlab,2008-10-01
chile,2009Q1,7.870361326680077,matlab,2009-01-01
chile,2009Q2,2.196842313657655,matlab,2009-04-01
chile,2009Q3,2.161773808748884,matlab,2009-07-01
chile,2009Q4,2.1803547779130126,matlab,2009-10-01
chile,2010Q1,2.1829686582830456,matlab,2010-01-01
chile,2010Q2,2.173755263670031,matlab,2010-04-01
chile,2010Q3,2.462423955052141,matlab,2010-07-01
chile,2010Q4,2.1680157301132024,matlab,2010-10-01
