quarter,fx_vol
2010Q1,0.03255512152610615
2010Q2,0.061003516042471645
2010Q3,0.024822310418151184
2010Q4,0.026737828035432794
2011Q1,0.02021068317900387
2011Q2,0.03408926692476109
2011Q3,0.03891169959504656
2011Q4,0.04697317355775036
2012Q1,0.034538630352793004
2012Q2,0.03012535047158859
2012Q3,0.030147443177178494
2012Q4,0.018436496139092224
2013Q1,0.023702602325322182
2013Q2,0.04436437757156281
2013Q3,0.04611454709605167
2013Q4,0.02858288094014011
2014Q1,0.024902954597936296
2014Q2,0.02421967241727624
2014Q3,0.02560140380362057
2014Q4,0.03091441880803381
2015Q1,0.04368871223141784
2015Q2,0.047797470653528705
2015Q3,0.05758318467056739
2015Q4,0.06683952647119622
2016Q1,0.061333438606040534
2016Q2,0.04504458225393337
2016Q3,0.040510132111730005
2016Q4,0.025982778496143298
2017Q1,0.010887852828245332
2017Q2,0.015672683576384374
2017Q3,0.014611661239106932
2017Q4,0.01846909287017988
2018Q1,0.024418622128164216
2018Q2,0.012024543438885402
2018Q3,0.012553221725366806
2018Q4,0.015808503194631875
2019Q1,0.016160385382655254
2019Q2,0.014894454830106388
2019Q3,0.017847949458113445
2019Q4,0.015089212339888889
2020Q1,0.035967914429139776
2020Q2,0.030685964302537366
2020Q3,0.016819660337283496
2020Q4,0.017872518212283736
2021Q1,0.02036483837170315
2021Q2,0.014751481232544376
2021Q3,0.01843224752022458
2021Q4,0.018370197774295365
2022Q1,0.013530938162754412
2022Q2,0.018917022453549565
2022Q3,0.0138039929959357
2022Q4,0.040738080753134086
2023Q1,0.034896246922535186
2023Q2,0.022917123666013152
2023Q3,0.03031337228082758
2023Q4,0.03186889710816237
2024Q1,0.02344094623874206
2024Q2,0.01668115165968201
2024Q3,0.04135771863790337
2024Q4,0.0330129457440237
2025Q1,0.03344079338493474
2025Q2,0.04148944805091304
2025Q3,0.022196134625978272
2025Q4,0.015075397522820262
2026Q1,0.03119507805820262
2026Q2,0.03536969066779813
2026Q3,0.016820398513256795
