quarter,USD_NEER,USD_NEER_log
2003Q1,97.47333333333334,4.579578836321183
2003Q2,94.12333333333333,4.54460597901331
2003Q3,94.10000000000001,4.544358046591334
2003Q4,91.43,4.515573652176335
2004Q1,89.58999999999999,4.495243706609487
2004Q2,91.68333333333334,4.5183406106533575
2004Q3,90.92666666666666,4.510053320830619
2004Q4,87.49000000000001,4.471524501118173
2005Q1,86.39999999999999,4.45898767581001
2005Q2,87.48333333333333,4.471448299030199
2005Q3,87.74333333333334,4.474415886050543
2005Q4,88.47666666666667,4.482738863767201
2006Q1,87.28333333333335,4.469159532057387
2006Q2,86.03000000000002,4.454696072633257
2006Q3,85.59666666666668,4.449646341579514
2006Q4,85.08666666666666,4.443670344886435
2007Q1,84.88,4.441238494305727
2007Q2,82.88666666666667,4.417474212856682
2007Q3,81.39,4.3992524153389505
2007Q4,78.50666666666666,4.363183546872402
2008Q1,76.95333333333333,4.343199177518656
2008Q2,75.56,4.324927042633309
2008Q3,76.94333333333334,4.343069220187798
2008Q4,85.27666666666667,4.44590087272429
2009Q1,87.52,4.471867338673671
2009Q2,84.27999999999999,4.434144588935988
2009Q3,81.53,4.400971050674819
2009Q4,79.45,4.375127892982725
2010Q1,80.28333333333333,4.38556204440812
2010Q2,81.65666666666668,4.402523465399537
2010Q3,80.72333333333334,4.3910276702043
2010Q4,78.05,4.357349646961441
2011Q1,77.03333333333333,4.344238228612225
2011Q2,75.04,4.318021304697969
2011Q3,75.54,4.324662317284311
2011Q4,78.52,4.3633533694082605
2012Q1,78.01333333333334,4.356879752251926
2012Q2,79.39,4.374372415737022
2012Q3,79.33333333333333,4.373658385003365
2012Q4,78.17666666666666,4.358971222805376
2013Q1,78.64666666666666,4.364965246745586
2013Q2,79.44666666666667,4.375085936994551
2013Q3,80.25666666666666,4.385229832287628
2013Q4,79.79,4.379398183320189
2014Q1,80.88333333333334,4.393007787183116
2014Q2,80.51,4.388381400311889
2014Q3,81.20666666666666,4.396997345603703
2014Q4,84.81666666666666,4.440492064366732
2015Q1,89.70666666666666,4.4965450881164735
2015Q2,90.28333333333332,4.502952873435798
2015Q3,93.20333333333333,4.534783486431093
2015Q4,94.68666666666667,4.550573194784873
2016Q1,96.64999999999999,4.57109620565434
2016Q2,94.32666666666667,4.546763935099697
2016Q3,95.15666666666668,4.555524656097684
2016Q4,98.46333333333332,4.589684228452644
2017Q1,99.23666666666668,4.597507569652746
2017Q2,96.86666666666667,4.573335462468073
2017Q3,93.47333333333334,4.537676190624876
2017Q4,94.23333333333333,4.545773976031435
2018Q1,91.51333333333334,4.516484681155404
2018Q2,93.60333333333334,4.539065995385048
2018Q3,96.55333333333333,4.570095532704601
2018Q4,98.27333333333333,4.587752711951023
2019Q1,97.03333333333335,4.575054562083468
2019Q2,97.84333333333332,4.583367560027247
2019Q3,98.86333333333334,4.593738425025672
2019Q4,98.85333333333334,4.5936372701743675
2020Q1,99.80333333333334,4.603201582893247
2020Q2,103.7,4.641502115235482
2020Q3,99.86333333333333,4.603802584580786
2020Q4,96.63666666666666,4.570958241317902
2021Q1,95.21999999999998,4.556190003766373
2021Q2,95.05,4.554403068934438
2021Q3,96.19,4.566325402164524
2021Q4,97.76666666666667,4.582583687315296
2022Q1,98.37,4.588735879524666
2022Q2,101.74000000000001,4.622420539394619
2022Q3,105.86666666666667,4.662180440704871
2022Q4,107.03666666666668,4.67317145488855
2023Q1,102.80333333333333,4.632817777916903
2023Q2,102.59333333333335,4.630772953367596
2023Q3,103.69,4.6414056785701865
2023Q4,104.88333333333333,4.652848621304833
2024Q1,103.97333333333334,4.644134456006232
2024Q2,105.58,4.65946895939547
2024Q3,105.47666666666667,4.658489759418308
2024Q4,107.93666666666667,4.68154463535982
2025Q1,109.48,4.695741884172478
2025Q2,105.14333333333333,4.655324498648814
2025Q3,103.27,4.637346917683312
2025Q4,103.57333333333334,4.64027989643485
2026Q1,102.04666666666667,4.625430224995451
2026Q2,102.09333333333332,4.625887427576813
2026Q3,103.2,4.636668853047462
