quarter,fx_vol
2010Q1,0.06551532764268883
2010Q2,0.07821655414505395
2010Q3,0.04605561527946464
2010Q4,0.05597878620251352
2011Q1,0.06559535928034368
2011Q2,0.06498670806559921
2011Q3,0.1213709674429356
2011Q4,0.11400380427478832
2012Q1,0.06651789452707732
2012Q2,0.07488089854086429
2012Q3,0.06991783184111608
2012Q4,0.0657666108514662
2013Q1,0.05919947182200024
2013Q2,0.08200110124602247
2013Q3,0.07341892402054931
2013Q4,0.0507458777105551
2014Q1,0.0724252000327531
2014Q2,0.05000133380376009
2014Q3,0.04018275769200749
2014Q4,0.05573331149900377
2015Q1,0.07752221103229517
2015Q2,0.06006459769857348
2015Q3,0.06316214065883648
2015Q4,0.09994403462225876
2016Q1,0.10723337357618613
2016Q2,0.11039617912688389
2016Q3,0.09357379339172556
2016Q4,0.10791080519868099
2017Q1,0.0789672028819058
2017Q2,0.07893370355037305
2017Q3,0.06299925854729886
2017Q4,0.08697745799227044
2018Q1,0.06271476679207931
2018Q2,0.07623877302341142
2018Q3,0.09803489859319788
2018Q4,0.08545375407791832
2019Q1,0.07043530440214
2019Q2,0.06584059421893024
2019Q3,0.06332963989374693
2019Q4,0.056490954939644476
2020Q1,0.08687898890511146
2020Q2,0.09757773230135611
2020Q3,0.08563683416350597
2020Q4,0.05534002280063628
2021Q1,0.08196623226229656
2021Q2,0.06049813737275039
2021Q3,0.06759923298491255
2021Q4,0.07399509499199311
2022Q1,0.06504477525697562
2022Q2,0.08466783981610668
2022Q3,0.07517243853947249
2022Q4,0.08414202611148676
2023Q1,0.06715092592716025
2023Q2,0.07210644317605652
2023Q3,0.0782254986728765
2023Q4,0.07192794585086865
2024Q1,0.052888920752539974
2024Q2,0.06071116691463876
2024Q3,0.05065590640857497
2024Q4,0.05849144667862725
2025Q1,0.046734927305855045
2025Q2,0.06703618308743552
2025Q3,0.044463198970268236
2025Q4,0.03681236583842655
2026Q1,0.07667310379419166
2026Q2,0.060931965812107164
2026Q3,0.05207868550176682
